Pretty Formula,A,B
HC,H1+,C1-
HN,H1+,N1-
H2O2,H1+,O1-
HF,H1+,F1-
HS,H1+,S1-
HCl,H1+,Cl1-
HBr,H1+,Br1-
HRh,H1+,Rh1-
HI,H1+,I1-
HAu,H1+,Au1-
LiH,Li1+,H1-
LiC,Li1+,C1-
LiN,Li1+,N1-
Li2O2,Li1+,O1-
LiF,Li1+,F1-
LiSi,Li1+,Si1-
LiP,Li1+,P1-
LiS,Li1+,S1-
LiCl,Li1+,Cl1-
LiTi,Li1+,Ti1-
LiV,Li1+,V1-
LiCr,Li1+,Cr1-
LiMn,Li1+,Mn1-
LiFe,Li1+,Fe1-
LiCo,Li1+,Co1-
LiNi,Li1+,Ni1-
LiGe,Li1+,Ge1-
LiBr,Li1+,Br1-
LiNb,Li1+,Nb1-
LiMo,Li1+,Mo1-
LiRh,Li1+,Rh1-
LiI,Li1+,I1-
LiTa,Li1+,Ta1-
LiW,Li1+,W1-
LiRe,Li1+,Re1-
LiOs,Li1+,Os1-
LiIr,Li1+,Ir1-
LiPt,Li1+,Pt1-
LiAu,Li1+,Au1-
LiTl,Li1+,Tl1-
BeH,Be1+,H1-
BeC,Be1+,C1-
BeC,Be2+,C2-
BeN,Be1+,N1-
BeN,Be2+,N2-
BeO,Be1+,O1-
BeO,Be2+,O2-
BeF,Be1+,F1-
BeSi,Be1+,Si1-
BeSi,Be2+,Si2-
BeP,Be1+,P1-
BeP,Be2+,P2-
BeS,Be1+,S1-
BeS,Be2+,S2-
BeCl,Be1+,Cl1-
BeV,Be1+,V1-
BeCr,Be1+,Cr1-
BeCr,Be2+,Cr2-
BeFe,Be1+,Fe1-
BeFe,Be2+,Fe2-
BeCo,Be1+,Co1-
BeNi,Be1+,Ni1-
BeGe,Be1+,Ge1-
BeGe,Be2+,Ge2-
BeSe,Be2+,Se2-
BeBr,Be1+,Br1-
BeNb,Be1+,Nb1-
BeMo,Be1+,Mo1-
BeMo,Be2+,Mo2-
BeRu,Be2+,Ru2-
BeRh,Be1+,Rh1-
BeTe,Be2+,Te2-
BeI,Be1+,I1-
BeW,Be1+,W1-
BeW,Be2+,W2-
BeRe,Be1+,Re1-
BeOs,Be1+,Os1-
BeOs,Be2+,Os2-
BeIr,Be1+,Ir1-
BePt,Be1+,Pt1-
BePt,Be2+,Pt2-
BeAu,Be1+,Au1-
BeTl,Be1+,Tl1-
BH,B1+,H1-
BC,B1+,C1-
BC,B2+,C2-
BC,B3+,C3-
BN,B1+,N1-
BN,B2+,N2-
BN,B3+,N3-
BO,B1+,O1-
BO,B2+,O2-
BF,B1+,F1-
BP,B1+,P1-
BP,B2+,P2-
BP,B3+,P3-
BS,B1+,S1-
BS,B2+,S2-
BCl,B1+,Cl1-
BAs,B3+,As3-
BSe,B2+,Se2-
BBr,B1+,Br1-
BMo,B1+,Mo1-
BMo,B2+,Mo2-
BRu,B2+,Ru2-
BRh,B1+,Rh1-
BSb,B3+,Sb3-
BTe,B2+,Te2-
BI,B1+,I1-
BOs,B1+,Os1-
BOs,B2+,Os2-
BIr,B1+,Ir1-
BIr,B3+,Ir3-
BPt,B1+,Pt1-
BPt,B2+,Pt2-
BAu,B1+,Au1-
CN,C1+,N1-
CN,C2+,N2-
CN,C3+,N3-
CO,C1+,O1-
CO,C2+,O2-
CF,C1+,F1-
CS,C1+,S1-
CS,C2+,S2-
CCl,C1+,Cl1-
CBr,C1+,Br1-
CI,C1+,I1-
NO,N1+,O1-
NO,N2+,O2-
NF,N1+,F1-
NCl,N1+,Cl1-
OF,O1+,F1-
NaH,Na1+,H1-
NaC,Na1+,C1-
NaN,Na1+,N1-
Na2O2,Na1+,O1-
NaF,Na1+,F1-
NaSi,Na1+,Si1-
NaP,Na1+,P1-
NaS,Na1+,S1-
NaCl,Na1+,Cl1-
NaTi,Na1+,Ti1-
NaV,Na1+,V1-
NaCr,Na1+,Cr1-
NaMn,Na1+,Mn1-
NaFe,Na1+,Fe1-
NaCo,Na1+,Co1-
NaNi,Na1+,Ni1-
NaGe,Na1+,Ge1-
NaBr,Na1+,Br1-
NaNb,Na1+,Nb1-
NaMo,Na1+,Mo1-
NaRh,Na1+,Rh1-
NaI,Na1+,I1-
NaTa,Na1+,Ta1-
NaW,Na1+,W1-
NaRe,Na1+,Re1-
NaOs,Na1+,Os1-
NaIr,Na1+,Ir1-
NaPt,Na1+,Pt1-
NaAu,Na1+,Au1-
NaTl,Na1+,Tl1-
MgH,Mg1+,H1-
MgC,Mg1+,C1-
MgC,Mg2+,C2-
MgN,Mg1+,N1-
MgN,Mg2+,N2-
MgO,Mg1+,O1-
MgO,Mg2+,O2-
MgF,Mg1+,F1-
MgSi,Mg1+,Si1-
MgSi,Mg2+,Si2-
MgP,Mg1+,P1-
MgP,Mg2+,P2-
MgS,Mg1+,S1-
MgS,Mg2+,S2-
MgCl,Mg1+,Cl1-
MgTi,Mg1+,Ti1-
MgV,Mg1+,V1-
MgCr,Mg1+,Cr1-
MgCr,Mg2+,Cr2-
MgMn,Mg1+,Mn1-
MgMn,Mg2+,Mn2-
MgFe,Mg1+,Fe1-
MgFe,Mg2+,Fe2-
MgCo,Mg1+,Co1-
MgNi,Mg1+,Ni1-
MgGe,Mg1+,Ge1-
MgGe,Mg2+,Ge2-
MgSe,Mg2+,Se2-
MgBr,Mg1+,Br1-
MgNb,Mg1+,Nb1-
MgMo,Mg1+,Mo1-
MgMo,Mg2+,Mo2-
MgRu,Mg2+,Ru2-
MgRh,Mg1+,Rh1-
MgTe,Mg2+,Te2-
MgI,Mg1+,I1-
MgTa,Mg1+,Ta1-
MgW,Mg1+,W1-
MgW,Mg2+,W2-
MgRe,Mg1+,Re1-
MgOs,Mg1+,Os1-
MgOs,Mg2+,Os2-
MgIr,Mg1+,Ir1-
MgPt,Mg1+,Pt1-
